LOCATION,DATES,MIN . TEMPERATURE,MAX. TEMPERATURE,AVG. TEMPERATURE,AVG. Humidity(%),IMAGES,DIRECT_LINK,Vegetation_Density,Green_Density
GREATER NOIDA ,26-05-2011,27,42,34.5,18,https://drive.google.com/file/d/102WRwzM-bS7XzkWhl66SDCvUZB3BbvHi/view?usp=sharing,https://drive.google.com/uc?export=download&id=102WRwzM-bS7XzkWhl66SDCvUZB3BbvHi,,5.59387207
GREATER NOIDA ,01-06-2011,28,41,34.5,25,https://drive.google.com/file/d/1pwSwPVfB5J-GiKhEN_e1Gzq7sDtTInQ8/view?usp=sharing,https://drive.google.com/uc?export=download&id=1pwSwPVfB5J-GiKhEN_e1Gzq7sDtTInQ8,,13.45062256
GREATER NOIDA ,09-06-2011,29,40,34.5,30,https://drive.google.com/file/d/1dzHe53MP69pQCZsDvXnNlvQ1QPRijmz9/view?usp=sharing,https://drive.google.com/uc?export=download&id=1dzHe53MP69pQCZsDvXnNlvQ1QPRijmz9,,5.809020996
GREATER NOIDA ,01-10-2011,18,33,25.5,45,https://drive.google.com/file/d/1g-AVvfOed0T-zNT2xU0tF5mtY5ZSE_KL/view?usp=sharing,https://drive.google.com/uc?export=download&id=1g-AVvfOed0T-zNT2xU0tF5mtY5ZSE_KL,,19.18640137
GREATER NOIDA ,12-10-2011,19,32,25.5,50,https://drive.google.com/file/d/1Y1G6MEQlbA78AQBEbCXmCrIiDCAFDBvX/view?usp=sharing,https://drive.google.com/uc?export=download&id=1Y1G6MEQlbA78AQBEbCXmCrIiDCAFDBvX,,9.922790527
GREATER NOIDA ,01-11-2011,18,29,23.5,55,https://drive.google.com/file/d/1mVwUen9_S6HbjBvCQxyhqNgrrHri9MOu/view?usp=sharing,https://drive.google.com/uc?export=download&id=1mVwUen9_S6HbjBvCQxyhqNgrrHri9MOu,,1.908874512
GREATER NOIDA ,14-12-2011,17,28,22.5,60,https://drive.google.com/file/d/1cxM16tdq0LDX-SdluwKINtvIQZlUoPFE/view?usp=sharing,https://drive.google.com/uc?export=download&id=1cxM16tdq0LDX-SdluwKINtvIQZlUoPFE,,1.112365723
GREATER NOIDA ,14-11-2011,12,22,17,65,https://drive.google.com/file/d/1ntVU5V9lHqQf_xQm-6SVwUEACp9nNer9/view?usp=sharing,https://drive.google.com/uc?export=download&id=1ntVU5V9lHqQf_xQm-6SVwUEACp9nNer9,,1.084899902
GREATER NOIDA ,30-12-2011,10,20,15,34,https://drive.google.com/file/d/1LGLDgB1kv_QjFC4My1-lXOwi8gXDCCZr/view?usp=sharing,https://drive.google.com/uc?export=download&id=1LGLDgB1kv_QjFC4My1-lXOwi8gXDCCZr,,4.760742188
GREATER NOIDA ,09-11-2012,15,28,21.5,60,https://drive.google.com/file/d/1Me3l2PSVlFX4rQQgpkz8nJ5MXXBKPpVo/view?usp=sharing,https://drive.google.com/uc?export=download&id=1Me3l2PSVlFX4rQQgpkz8nJ5MXXBKPpVo,,3.741455078
GREATER NOIDA ,20-11-2012,13,26,19.5,65,https://drive.google.com/file/d/1Me3l2PSVlFX4rQQgpkz8nJ5MXXBKPpVo/view?usp=sharing,https://drive.google.com/uc?export=download&id=1Me3l2PSVlFX4rQQgpkz8nJ5MXXBKPpVo,,3.741455078
GREATER NOIDA ,31-12-2011,10,20,15,34,https://drive.google.com/file/d/1BZC7FHRzz9nTdjPazCA2ZV7vUYrqIYmr/view?usp=sharing,https://drive.google.com/uc?export=download&id=1BZC7FHRzz9nTdjPazCA2ZV7vUYrqIYmr,,16.43371582
GREATER NOIDA ,01-12-2012,12,24,18,55,https://drive.google.com/file/d/1C_xSLz7cIDpPrreNq5wgxe6hbRpon0kQ/view?usp=sharing,https://drive.google.com/uc?export=download&id=1C_xSLz7cIDpPrreNq5wgxe6hbRpon0kQ,,3.927612305
GREATER NOIDA ,30-12-2012,8,20,14,60,https://drive.google.com/file/d/13KZYDNxgjzwcm3QTM_41a39omI7icuaZ/view?usp=sharing,https://drive.google.com/uc?export=download&id=13KZYDNxgjzwcm3QTM_41a39omI7icuaZ,,19.53277588
GREATER NOIDA ,31-12-2012,7,19,13,62,https://drive.google.com/file/d/13KZYDNxgjzwcm3QTM_41a39omI7icuaZ/view?usp=sharing,https://drive.google.com/uc?export=download&id=13KZYDNxgjzwcm3QTM_41a39omI7icuaZ,,19.53277588
GREATER NOIDA ,01-03-2013,12,25,18.5,50,https://drive.google.com/file/d/19blPRLcduSR3xLxCgOjr7elSfBCcpZIo/view?usp=sharing,https://drive.google.com/uc?export=download&id=19blPRLcduSR3xLxCgOjr7elSfBCcpZIo,,4.512023926
GREATER NOIDA ,11-03-2013,14,27,20.5,45,https://drive.google.com/file/d/1dwl4sV-I2kdpReTnvqqxLF9Ho4Sfjz3i/view?usp=sharing,https://drive.google.com/uc?export=download&id=1dwl4sV-I2kdpReTnvqqxLF9Ho4Sfjz3i,,3.837585449
GREATER NOIDA ,01-10-2013,20,33,26.5,55,https://drive.google.com/file/d/1XtVUkXV2P5ViLar4bxHvj_KzOO6j-XaW/view?usp=sharing,https://drive.google.com/uc?export=download&id=1XtVUkXV2P5ViLar4bxHvj_KzOO6j-XaW,,1.513671875
GREATER NOIDA ,30-10-2013,17,30,23.5,60,https://drive.google.com/file/d/1LTWsYHMTNC99nupfucOrqvWSbBtRp6K_/view?usp=sharing,https://drive.google.com/uc?export=download&id=1LTWsYHMTNC99nupfucOrqvWSbBtRp6K_,,0.151062012
GREATER NOIDA ,31-12-2013,8,20,14,65,https://drive.google.com/file/d/1OYUBCmVlD6wGGgfn7ffhwpxSrIJuSB2g/view?usp=sharing,https://drive.google.com/uc?export=download&id=1OYUBCmVlD6wGGgfn7ffhwpxSrIJuSB2g,,14.06707764
